,category,headline
0,ENTERTAINMENT,still even gilmore girl revival
1,ENTERTAINMENT,shine adaptation may origin story
2,ENTERTAINMENT,feud go right ariana
3,ENTERTAINMENT,share frightening slow motion video ankle breaking stunt
4,ENTERTAINMENT,feast eye beautiful office reunion
5,ENTERTAINMENT,private struggle year escape horror
6,ENTERTAINMENT,singer pink ecstatic eagle play game
7,ENTERTAINMENT,family slam
8,ENTERTAINMENT,ask prayer remain hospitalize coma
9,ENTERTAINMENT,explain exit lifetime
10,ENTERTAINMENT,pretty little liar march crime
11,ENTERTAINMENT,exclusive interview rock city grow poor
12,ENTERTAINMENT,watch perfect audition
13,ENTERTAINMENT,demand fan wheelchair stand
14,ENTERTAINMENT,parent battle addiction face difficult decision
15,ENTERTAINMENT,finally hit
16,ENTERTAINMENT,declare public way
17,ENTERTAINMENT,respond fan want
18,ENTERTAINMENT,chance chance weatherman
19,ENTERTAINMENT,westworld open sequence may hint mother theory
20,ENTERTAINMENT,confirm body check bodyguard
21,ENTERTAINMENT,racial twist
22,ENTERTAINMENT,trick thinking kill scandal
23,ENTERTAINMENT,fall toole good film
24,ENTERTAINMENT,date game mating game
25,ENTERTAINMENT,already begin thank
26,ENTERTAINMENT,taylor_swift cover vanity talk girl
27,ENTERTAINMENT,nominate movie popular general public say poll
28,ENTERTAINMENT,death memory star
29,ENTERTAINMENT,dress dem baby adorable lamb costume
30,ENTERTAINMENT,reportedly run car filming
31,ENTERTAINMENT,new movie ponder success cruise
32,ENTERTAINMENT,
33,ENTERTAINMENT,formal response sexist doctor complaint satisfy
34,ENTERTAINMENT,turn part boycott
35,ENTERTAINMENT,end live host rumor
36,ENTERTAINMENT,debut pop shop
37,ENTERTAINMENT,vii talk
38,ENTERTAINMENT,take early lead
39,ENTERTAINMENT,experience good selling album far move whopping unit
40,ENTERTAINMENT,
41,ENTERTAINMENT,big
42,ENTERTAINMENT,reveal honor manchester attack
43,ENTERTAINMENT,first look fourfivesecond music video
44,ENTERTAINMENT,release first trailer good dinosaur
45,ENTERTAINMENT,star begin trailer
46,ENTERTAINMENT,demand international phone line
47,ENTERTAINMENT,actor want dream loud
48,ENTERTAINMENT,worry freak show may scary
49,ENTERTAINMENT,new fall bonker surf scene
50,ENTERTAINMENT,man
51,ENTERTAINMENT,trump pizza rat top costume
52,ENTERTAINMENT,dead cervical cancer age
53,ENTERTAINMENT,tell audition story
54,ENTERTAINMENT,meet speak
55,ENTERTAINMENT,lose generation
56,ENTERTAINMENT,sexual assault case
57,ENTERTAINMENT,people strong reaction barack portrait
58,ENTERTAINMENT,hire look alike go spider man
59,ENTERTAINMENT,allegation let go
60,ENTERTAINMENT,listen beyonce sing year old
61,ENTERTAINMENT,leave tip gift ticket waffle house
62,ENTERTAINMENT,recent female duos actually lead true detective
63,ENTERTAINMENT,lot cool story wisdom share
64,ENTERTAINMENT,hilariously mock diversity problem emmys
65,ENTERTAINMENT,win big boycotting
66,ENTERTAINMENT,explain mom become weed dealer
67,ENTERTAINMENT,announce half documentary line
